Id,Forno,Dt,VPlaca,VAlvo,VLiquida,VTotal,RLen,RRap,Incremento,Perda_Catodica,Perda_Anodica,EA,VMedEA,VMaxEA,Fluoreto,Fluorita,Banho,Metal,Temperatura,Ferro,Silicio,Producao,Ligada,Vida,Corrente,Desfilamento,Flanco,Vazio,Lombo,Plasticidade,DurEA,Tam_Anodo,MovCima,MovBaixo,FalhaMov,PrevEA,QP,NQueb,EA_24,EA_72,EA_96,AdFluoreto,IntervCorr,IntervRefCorr,IntervRefQueb,CargaFluoreto,CargaFluorita,TotalFluoreto,NumDBDia,NumDBConsec,NumDBQueb,DifAlFalhaMov,DifAlBandaMorta,DifAlInibPrev,DifAlInibQueb,DifAlIntervMov,DifAlManual,DifAlInibUsu,DifAlDesvio,DeltaRCorr,Al2O3,Tipo_Oper,Num_Pontas_Atras,Manobra_Anodo,Anodo_Medido,Consumo_Anodo,Lev_Tot_Pontista,Lev_Tot_Tecnico,Lev_Fora_Pontista,Lev_Fora_Tecnico,EA_30,Eficiencia,Sala_Forno
1526_170121,1526,2021-01-17,"4,17","4,19","4,22","4,22","2,1","4,8",23,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"132,11",NULL,NULL,NULL,NULL,NULL,0,NULL,9,28,3,2,2,5,0,0,0,NULL,85494,109903,14586,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,5908,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7458557262887",Sala Forno 6
1526_170221,1526,2021-02-17,"4,23","4,24","4,27","4,27","2,8","6,6",13,NULL,NULL,0,0,0,"10,2",6,15,41,962,NULL,NULL,NULL,1,0,"130,59",NULL,NULL,NULL,NULL,NULL,0,NULL,16,17,0,2,1,6,0,0,0,19,93135,92765,14597,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,"0,452",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_180121,1526,2021-01-18,"4,17","4,18","4,2","4,19","2,6",5,12,NULL,NULL,0,0,0,"10,2","5,7",15,42,955,NULL,NULL,955,1,0,"130,18",NULL,NULL,NULL,"NR ",NULL,0,NULL,9,24,0,2,0,6,0,0,0,115,63585,87088,14138,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5508,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"91,076394223383",Sala Forno 6
1526_180221,1526,2021-02-18,"4,24","4,25","4,26","4,26","2,6","6,9",10,NULL,NULL,0,0,0,"10,2",6,15,41,962,NULL,NULL,NULL,1,0,"130,39",NULL,NULL,NULL,NULL,NULL,0,NULL,17,19,0,1,0,4,0,0,0,19,77401,83766,14651,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,7928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_190121,1526,2021-01-19,"4,17","4,18","4,2","4,26","1,9","4,8",6,NULL,NULL,1,"21,79","38,47",NULL,NULL,NULL,NULL,NULL,"0,1778","0,0292",955,1,0,"132,11",NULL,NULL,NULL,NULL,NULL,295,NULL,10,28,1,3,0,5,0,0,0,NULL,94088,94776,14363,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4649,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7458557262887",Sala Forno 6
1526_190221,1526,2021-02-19,"4,25","4,25","4,27","4,31","2,4","6,8",5,NULL,NULL,1,"21,1","36,69","10,2",6,15,41,962,NULL,NULL,NULL,1,0,"129,53",NULL,NULL,NULL,NULL,NULL,210,NULL,9,25,0,4,1,7,0,1,0,19,88552,85918,16229,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,6001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_200121,1526,2021-01-20,"4,17","4,19","4,21","4,2","2,1",5,16,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,NULL,NULL,0,NULL,14,19,0,2,2,6,0,0,0,NULL,102141,110517,16416,NULL,NULL,NULL,2,0,0,0,0,0,0,0,0,0,0,4750,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_200221,1526,2021-02-20,"4,27","4,31","4,33","4,32","2,4","6,5",38,NULL,NULL,0,0,0,"10,2",6,15,41,962,NULL,NULL,NULL,1,0,"131,11",NULL,NULL,NULL,NULL,NULL,0,NULL,7,25,1,0,0,6,0,0,0,19,86513,86031,14879,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_210121,1526,2021-01-21,"4,17","4,19","4,22","4,21","1,9","5,2",25,NULL,NULL,0,0,0,NULL,NULL,14,42,NULL,NULL,NULL,955,1,0,"132,11",NULL,NULL,NULL,NULL,NULL,0,NULL,12,25,0,0,0,5,0,0,0,NULL,88246,112363,14831,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,5406,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7458557262887",Sala Forno 6
1526_210221,1526,2021-02-21,"4,27","4,28","4,32","4,31","2,5","6,5",11,NULL,NULL,0,0,0,"10,2",6,15,41,962,NULL,NULL,NULL,1,0,"128,59",NULL,NULL,NULL,NULL,NULL,0,NULL,7,17,0,1,0,5,0,0,0,19,85814,85445,14656,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5674,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
